location_id,location_name,region,month,revenue,budget_revenue,labor_expense,other_expense,volume
LOC-101,Cedar Grove,Northeast,2025-01-01,160077.15,161305.66,49898.16,62254.62,1135
LOC-101,Cedar Grove,Northeast,2025-02-01,165492.78,164798.73,53594.70,65137.27,1174
LOC-101,Cedar Grove,Northeast,2025-03-01,166476.57,165665.48,50184.55,66475.02,1156
LOC-101,Cedar Grove,Northeast,2025-04-01,165564.16,166600.48,50939.07,62819.78,1166
LOC-101,Cedar Grove,Northeast,2025-05-01,168059.86,169114.67,52347.05,63515.51,1181
LOC-101,Cedar Grove,Northeast,2025-06-01,165230.57,166312.38,50922.65,65114.07,1180
LOC-101,Cedar Grove,Northeast,2025-07-01,167472.88,168129.92,48837.56,66685.83,1212
LOC-101,Cedar Grove,Northeast,2025-08-01,166402.02,167135.05,49447.51,67462.37,1185
LOC-101,Cedar Grove,Northeast,2025-09-01,163595.96,163696.81,51708.76,62929.57,1160
LOC-101,Cedar Grove,Northeast,2025-10-01,162748.95,162180.01,51463.29,65881.15,1175
LOC-101,Cedar Grove,Northeast,2025-11-01,163767.69,164802.11,50999.87,66471.81,1213
LOC-101,Cedar Grove,Northeast,2025-12-01,166284.10,166221.66,49984.95,68003.36,1214
LOC-102,Riverside,Northeast,2025-01-01,171136.18,170334.93,50507.33,63372.12,1206
LOC-102,Riverside,Northeast,2025-02-01,173582.71,174523.95,55030.42,66509.19,1204
LOC-102,Riverside,Northeast,2025-03-01,175159.01,174846.65,52662.93,71593.00,1183
LOC-102,Riverside,Northeast,2025-04-01,176892.43,176734.46,52697.69,66275.03,1167
LOC-102,Riverside,Northeast,2025-05-01,178135.33,178313.06,52845.40,68491.23,1194
LOC-102,Riverside,Northeast,2025-06-01,179826.72,179815.23,57600.48,69521.02,1228
LOC-102,Riverside,Northeast,2025-07-01,176990.49,177512.60,57263.47,68673.83,1173
LOC-102,Riverside,Northeast,2025-08-01,173783.97,173413.47,53582.25,66241.18,1182
LOC-102,Riverside,Northeast,2025-09-01,172902.35,174098.95,50709.63,64791.86,1192
LOC-102,Riverside,Northeast,2025-10-01,173711.10,174453.25,53067.27,68409.18,1241
LOC-102,Riverside,Northeast,2025-11-01,175265.82,174619.13,57637.60,66379.19,1204
LOC-102,Riverside,Northeast,2025-12-01,178318.16,178000.55,57415.57,66208.41,1209
LOC-103,Maple Heights,Northeast,2025-01-01,182694.49,181606.92,53218.55,70150.35,1198
LOC-103,Maple Heights,Northeast,2025-02-01,184468.33,184309.51,55698.36,71045.50,1207
