location_id,location_name,region,month,revenue,labor_expense,other_expense,volume
LOC-001,Harbor Point,Northeast,2025-01-01,171112.56,51590.74,69789.43,1336
LOC-001,Harbor Point,Northeast,2025-02-01,172682.0,50115.14,73174.64,1252
LOC-001,Harbor Point,Northeast,2025-03-01,167468.65,47995.2,67976.7,1341
LOC-001,Harbor Point,Northeast,2025-04-01,172994.74,55419.89,78670.13,1264
LOC-001,Harbor Point,Northeast,2025-05-01,177667.94,54262.46,71500.39,1399
LOC-001,Harbor Point,Northeast,2025-06-01,172194.19,50074.58,78830.42,1360
LOC-001,Harbor Point,Northeast,2025-07-01,179837.7,57039.79,84136.94,1338
LOC-001,Harbor Point,Northeast,2025-08-01,177310.13,57113.58,81374.1,1373
LOC-001,Harbor Point,Northeast,2025-09-01,180531.97,53920.19,74586.97,1313
LOC-001,Harbor Point,Northeast,2025-10-01,174855.51,52750.13,77085.88,1360
LOC-001,Harbor Point,Northeast,2025-11-01,177858.46,53538.72,82692.15,1407
LOC-001,Harbor Point,Northeast,2025-12-01,182353.25,59948.19,73501.53,1378
LOC-002,Maple Square,Northeast,2025-01-01,183388.69,58394.07,81565.63,1395
LOC-002,Maple Square,Northeast,2025-02-01,181493.3,52075.15,75362.6,1326
LOC-002,Maple Square,Northeast,2025-03-01,174536.46,58920.38,72463.04,1387
LOC-002,Maple Square,Northeast,2025-04-01,178261.58,55712.29,73299.45,1339
LOC-002,Maple Square,Northeast,2025-05-01,181745.41,58172.19,83934.72,1369
LOC-002,Maple Square,Northeast,2025-06-01,177866.88,56129.73,70661.67,1328
LOC-002,Maple Square,Northeast,2025-07-01,177331.28,58967.04,75148.17,1338
LOC-002,Maple Square,Northeast,2025-08-01,182398.59,57774.18,85305.32,1458
LOC-002,Maple Square,Northeast,2025-09-01,177998.14,58010.06,77065.65,1383
LOC-002,Maple Square,Northeast,2025-10-01,188433.76,58619.09,80328.92,1489
LOC-002,Maple Square,Northeast,2025-11-01,193063.11,60821.67,78053.9,1492
LOC-002,Maple Square,Northeast,2025-12-01,194110.59,62763.13,85159.74,1391
LOC-003,Riverside,Northeast,2025-01-01,187588.49,62226.4,81118.57,1323
LOC-003,Riverside,Northeast,2025-02-01,182269.34,62107.53,83898.17,1448
LOC-003,Riverside,Northeast,2025-03-01,183145.66,61844.73,85301.18,1351
LOC-003,Riverside,Northeast,2025-04-01,186940.25,61809.2,84359.92,1366
LOC-003,Riverside,Northeast,2025-05-01,187917.67,56545.07,86403.54,1416
LOC-003,Riverside,Northeast,2025-06-01,185062.47,60847.77,75152.4,1409
LOC-003,Riverside,Northeast,2025-07-01,198118.85,61671.63,85469.67,1390
LOC-003,Riverside,Northeast,2025-08-01,187487.74,60052.05,76571.71,1412
LOC-003,Riverside,Northeast,2025-09-01,186231.28,55634.08,86119.6,1514
LOC-003,Riverside,Northeast,2025-10-01,187330.05,60908.24,76269.36,1416
LOC-003,Riverside,Northeast,2025-11-01,201928.55,63276.38,91427.1,1524
LOC-003,Riverside,Northeast,2025-12-01,191408.94,59501.97,81135.63,1483
LOC-004,Summit Hill,Northeast,2025-01-01,194482.46,66911.67,77379.4,1422
LOC-004,Summit Hill,Northeast,2025-02-01,189697.03,56893.82,76868.41,1437
LOC-004,Summit Hill,Northeast,2025-03-01,192144.15,57641.01,89128.23,1446
LOC-004,Summit Hill,Northeast,2025-04-01,200161.18,57653.49,94064.26,1512
LOC-004,Summit Hill,Northeast,2025-05-01,203065.95,68214.27,81897.49,1470
LOC-004,Summit Hill,Northeast,2025-06-01,192398.28,55510.39,80868.43,1552
LOC-004,Summit Hill,Northeast,2025-07-01,194371.58,60702.34,82382.57,1558
LOC-004,Summit Hill,Northeast,2025-08-01,207175.63,67975.26,83364.11,1468
LOC-004,Summit Hill,Northeast,2025-09-01,207979.19,66039.99,93556.95,1441
LOC-004,Summit Hill,Northeast,2025-10-01,203005.44,68242.96,81728.9,1586
LOC-004,Summit Hill,Northeast,2025-11-01,196019.14,62863.75,87035.83,1485
LOC-004,Summit Hill,Northeast,2025-12-01,197813.52,59299.14,86555.59,1552
LOC-005,Lakeview,Midwest,2025-01-01,196954.0,62309.74,91539.59,1436
LOC-005,Lakeview,Midwest,2025-02-01,202914.82,62649.37,90040.45,1459
LOC-005,Lakeview,Midwest,2025-03-01,197743.61,57217.63,84369.85,1573
LOC-005,Lakeview,Midwest,2025-04-01,209938.94,62517.56,86330.26,1572
LOC-005,Lakeview,Midwest,2025-05-01,209344.96,64304.83,84286.41,1567
LOC-005,Lakeview,Midwest,2025-06-01,207713.04,71501.89,91875.24,1450
LOC-005,Lakeview,Midwest,2025-07-01,210831.11,68478.65,98060.59,1478
LOC-005,Lakeview,Midwest,2025-08-01,200481.27,63791.82,82555.75,1560
LOC-005,Lakeview,Midwest,2025-09-01,211697.37,68389.74,87032.75,1551
LOC-005,Lakeview,Midwest,2025-10-01,216092.12,62782.95,91598.44,1527
LOC-005,Lakeview,Midwest,2025-11-01,202173.32,65347.84,83084.42,1609
LOC-005,Lakeview,Midwest,2025-12-01,212640.53,60725.92,84209.8,1641
LOC-006,Prairie Center,Midwest,2025-01-01,212127.68,71078.83,92615.11,1469
LOC-006,Prairie Center,Midwest,2025-02-01,200600.08,67991.17,91010.21,1588
LOC-006,Prairie Center,Midwest,2025-03-01,214676.8,64396.98,85489.34,1585
LOC-006,Prairie Center,Midwest,2025-04-01,215744.84,69521.55,86808.01,1618
LOC-006,Prairie Center,Midwest,2025-05-01,216730.01,72311.17,99807.05,1487
LOC-006,Prairie Center,Midwest,2025-06-01,215872.03,73579.76,98044.5,1627
LOC-006,Prairie Center,Midwest,2025-07-01,218436.09,72573.75,87079.03,1639
LOC-006,Prairie Center,Midwest,2025-08-01,220563.45,73667.13,94141.83,1558
LOC-006,Prairie Center,Midwest,2025-09-01,220783.69,63236.83,89516.83,1571
LOC-006,Prairie Center,Midwest,2025-10-01,223286.57,67376.16,98540.5,1592
LOC-006,Prairie Center,Midwest,2025-11-01,226637.89,77363.8,90480.04,1694
LOC-006,Prairie Center,Midwest,2025-12-01,213867.83,64358.81,85263.16,1616
LOC-007,Oak Crossing,Midwest,2025-01-01,216629.65,69618.82,93348.72,1549
LOC-007,Oak Crossing,Midwest,2025-02-01,215371.55,70540.02,84024.04,1643
LOC-007,Oak Crossing,Midwest,2025-03-01,216042.54,71189.69,95847.33,1564
LOC-007,Oak Crossing,Midwest,2025-04-01,209245.07,63780.41,86860.4,1651
LOC-007,Oak Crossing,Midwest,2025-05-01,221852.87,67345.01,93770.87,1590
LOC-007,Oak Crossing,Midwest,2025-06-01,215754.32,66932.77,100375.19,1644
LOC-007,Oak Crossing,Midwest,2025-07-01,227770.65,69027.49,98814.87,1544
LOC-007,Oak Crossing,Midwest,2025-08-01,218195.93,69778.86,96524.74,1629
LOC-007,Oak Crossing,Midwest,2025-09-01,222266.74,69656.43,102708.23,1693
LOC-007,Oak Crossing,Midwest,2025-10-01,218684.49,69088.36,96360.1,1627
LOC-007,Oak Crossing,Midwest,2025-11-01,231695.57,75386.26,94525.13,1614
LOC-007,Oak Crossing,Midwest,2025-12-01,218613.67,68537.17,100120.47,1602
LOC-008,Riverbend,Midwest,2025-01-01,218486.71,64817.6,97381.35,1609
LOC-008,Riverbend,Midwest,2025-02-01,216823.82,61866.92,97587.45,1664
LOC-008,Riverbend,Midwest,2025-03-01,215712.75,63754.59,100659.61,1633
LOC-008,Riverbend,Midwest,2025-04-01,216024.26,72562.59,92138.01,1689
LOC-008,Riverbend,Midwest,2025-05-01,228474.97,73278.12,106470.06,1715
LOC-008,Riverbend,Midwest,2025-06-01,228861.62,72157.02,104462.86,1668
LOC-008,Riverbend,Midwest,2025-07-01,235433.38,73803.77,96700.81,1628
LOC-008,Riverbend,Midwest,2025-08-01,232075.49,73400.37,102145.68,1642
LOC-008,Riverbend,Midwest,2025-09-01,223107.35,67222.89,92718.23,1697
LOC-008,Riverbend,Midwest,2025-10-01,225557.69,73675.48,100714.56,1626
LOC-008,Riverbend,Midwest,2025-11-01,231915.4,71881.36,94284.45,1696
LOC-008,Riverbend,Midwest,2025-12-01,242618.71,79271.15,111250.03,1766
LOC-009,Magnolia Park,South,2025-01-01,225070.37,68895.28,101344.24,1712
LOC-009,Magnolia Park,South,2025-02-01,236949.33,78157.96,102762.69,1681
LOC-009,Magnolia Park,South,2025-03-01,224921.46,69984.35,88241.63,1647
LOC-009,Magnolia Park,South,2025-04-01,234792.35,69240.89,100348.19,1622
LOC-009,Magnolia Park,South,2025-05-01,235162.74,72580.91,102331.39,1614
LOC-009,Magnolia Park,South,2025-06-01,236970.64,74101.17,93371.83,1684
LOC-009,Magnolia Park,South,2025-07-01,230267.95,76143.57,96788.55,1758
LOC-009,Magnolia Park,South,2025-08-01,243411.34,70568.45,95307.87,1732
LOC-009,Magnolia Park,South,2025-09-01,248064.24,80374.96,112248.73,1762
LOC-009,Magnolia Park,South,2025-10-01,244814.96,72700.65,95876.98,1685
LOC-009,Magnolia Park,South,2025-11-01,234128.22,74649.01,95392.54,1791
LOC-009,Magnolia Park,South,2025-12-01,247938.27,79696.0,111531.08,1698
LOC-010,Peachtree,South,2025-01-01,240487.53,70098.73,94284.16,1665
LOC-010,Peachtree,South,2025-02-01,239300.14,73895.71,107015.3,1635
LOC-010,Peachtree,South,2025-03-01,241027.76,70166.57,108895.97,1778
LOC-010,Peachtree,South,2025-04-01,240781.27,82836.14,108980.21,1702
LOC-010,Peachtree,South,2025-05-01,238940.54,75351.73,99709.53,1800
LOC-010,Peachtree,South,2025-06-01,248006.96,84978.9,109333.08,1807
LOC-010,Peachtree,South,2025-07-01,247261.35,81355.84,115529.87,1720
LOC-010,Peachtree,South,2025-08-01,250715.38,78727.1,106515.42,1812
LOC-010,Peachtree,South,2025-09-01,241576.98,80890.57,95889.88,1849
LOC-010,Peachtree,South,2025-10-01,242519.1,77998.97,101935.42,1707
LOC-010,Peachtree,South,2025-11-01,256039.81,76230.01,116197.67,1774
LOC-010,Peachtree,South,2025-12-01,258124.19,77844.09,100878.05,1894
LOC-011,Cypress Grove,South,2025-01-01,233735.75,73466.58,105333.76,1774
LOC-011,Cypress Grove,South,2025-02-01,246089.27,81843.38,97806.77,1703
LOC-011,Cypress Grove,South,2025-03-01,248505.19,79495.15,106325.64,1768
LOC-011,Cypress Grove,South,2025-04-01,244782.43,74621.31,109228.87,1732
LOC-011,Cypress Grove,South,2025-05-01,242822.82,72010.34,97023.35,1790
LOC-011,Cypress Grove,South,2025-06-01,254478.06,75830.16,109103.88,1835
LOC-011,Cypress Grove,South,2025-07-01,260310.74,78608.62,103614.63,1750
LOC-011,Cypress Grove,South,2025-08-01,246750.61,70533.39,106776.59,1775
LOC-011,Cypress Grove,South,2025-09-01,263378.19,86083.86,105378.24,1894
LOC-011,Cypress Grove,South,2025-10-01,255063.74,81478.54,109052.95,1827
LOC-011,Cypress Grove,South,2025-11-01,250266.83,85457.07,107168.85,1908
LOC-011,Cypress Grove,South,2025-12-01,256198.62,82692.39,101016.23,1794
LOC-012,Blue Ridge,South,2025-01-01,250254.28,86246.41,99970.61,1831
LOC-012,Blue Ridge,South,2025-02-01,252678.51,75434.95,109108.05,1786
LOC-012,Blue Ridge,South,2025-03-01,250937.33,86423.29,103996.06,1828
LOC-012,Blue Ridge,South,2025-04-01,255862.02,87467.82,104039.39,1765
LOC-012,Blue Ridge,South,2025-05-01,258457.58,76355.82,102350.54,1737
LOC-012,Blue Ridge,South,2025-06-01,255710.94,77346.31,104462.55,1878
LOC-012,Blue Ridge,South,2025-07-01,262466.59,85627.91,121761.63,1904
LOC-012,Blue Ridge,South,2025-08-01,262416.88,89489.43,111267.67,1870
LOC-012,Blue Ridge,South,2025-09-01,264449.39,88484.2,104646.01,1810
LOC-012,Blue Ridge,South,2025-10-01,258861.08,82616.14,106932.63,1813
LOC-012,Blue Ridge,South,2025-11-01,268444.21,91689.96,115441.15,1894
LOC-012,Blue Ridge,South,2025-12-01,257069.39,79928.46,106885.78,1858
LOC-013,Golden Gate,West,2025-01-01,247877.04,83077.85,108078.34,1910
LOC-013,Golden Gate,West,2025-02-01,268149.98,80758.91,105441.54,1886
LOC-013,Golden Gate,West,2025-03-01,258822.75,87990.51,104698.75,1866
LOC-013,Golden Gate,West,2025-04-01,263839.57,76638.68,110241.9,1831
LOC-013,Golden Gate,West,2025-05-01,266189.37,81131.38,118585.74,1833
LOC-013,Golden Gate,West,2025-06-01,273614.79,87011.09,116665.54,1849
LOC-013,Golden Gate,West,2025-07-01,262037.16,81035.12,112981.96,1988
LOC-013,Golden Gate,West,2025-08-01,270757.48,83879.27,109658.57,1881
LOC-013,Golden Gate,West,2025-09-01,274493.14,90747.28,111522.35,1928
LOC-013,Golden Gate,West,2025-10-01,279822.06,91472.43,111848.82,2021
LOC-013,Golden Gate,West,2025-11-01,274525.4,80848.47,119162.45,1951
LOC-013,Golden Gate,West,2025-12-01,264836.44,89985.01,113062.87,1878
