location_id,location_name,region,month,revenue,budget_revenue,labor_expense,other_expense,volume
LOC-001,Harbor Point,Northeast,2025-01-01,171112.56,166052.12,51590.74,69789.43,1336
LOC-001,Harbor Point,Northeast,2025-02-01,172682.0,174465.29,50115.14,73174.64,1252
LOC-001,Harbor Point,Northeast,2025-03-01,167468.65,172227.5,47995.2,67976.7,1341
LOC-001,Harbor Point,Northeast,2025-04-01,172994.74,170827.42,55419.89,78670.13,1264
LOC-001,Harbor Point,Northeast,2025-05-01,177667.94,176010.24,54262.46,71500.39,1399
LOC-001,Harbor Point,Northeast,2025-06-01,172194.19,171794.59,50074.58,78830.42,1360
LOC-001,Harbor Point,Northeast,2025-07-01,179837.7,178418.81,57039.79,84136.94,1338
LOC-001,Harbor Point,Northeast,2025-08-01,177310.13,180366.11,57113.58,81374.1,1373
LOC-001,Harbor Point,Northeast,2025-09-01,180531.97,174479.48,53920.19,74586.97,1313
LOC-001,Harbor Point,Northeast,2025-10-01,174855.51,176003.82,52750.13,77085.88,1360
LOC-001,Harbor Point,Northeast,2025-11-01,177858.46,178013.18,53538.72,82692.15,1407
LOC-001,Harbor Point,Northeast,2025-12-01,182353.25,178706.38,59948.19,73501.53,1378
LOC-002,Maple Square,Northeast,2025-01-01,183388.69,178595.23,58394.07,81565.63,1395
LOC-002,Maple Square,Northeast,2025-02-01,181493.3,176054.68,52075.15,75362.6,1326
LOC-002,Maple Square,Northeast,2025-03-01,174536.46,183517.52,58920.38,72463.04,1387
LOC-002,Maple Square,Northeast,2025-04-01,178261.58,184387.32,55712.29,73299.45,1339
LOC-002,Maple Square,Northeast,2025-05-01,181745.41,179616.29,58172.19,83934.72,1369
LOC-002,Maple Square,Northeast,2025-06-01,177866.88,187388.67,56129.73,70661.67,1328
LOC-002,Maple Square,Northeast,2025-07-01,177331.28,185129.17,58967.04,75148.17,1338
LOC-002,Maple Square,Northeast,2025-08-01,182398.59,189631.06,57774.18,85305.32,1458
LOC-002,Maple Square,Northeast,2025-09-01,177998.14,188207.99,58010.06,77065.65,1383
LOC-002,Maple Square,Northeast,2025-10-01,188433.76,183645.14,58619.09,80328.92,1489
LOC-002,Maple Square,Northeast,2025-11-01,193063.11,186147.27,60821.67,78053.9,1492
LOC-002,Maple Square,Northeast,2025-12-01,194110.59,187565.23,62763.13,85159.74,1391
LOC-003,Riverside,Northeast,2025-01-01,187588.49,185010.41,62226.4,81118.57,1323
LOC-003,Riverside,Northeast,2025-02-01,182269.34,181352.63,62107.53,83898.17,1448
LOC-003,Riverside,Northeast,2025-03-01,,182828.53,61844.73,85301.18,1351
LOC-003,Riverside,Northeast,2025-04-01,186940.25,184054.66,61809.2,84359.92,1366
LOC-003,Riverside,Northeast,2025-05-01,187917.67,189700.33,56545.07,86403.54,1416
LOC-003,Riverside,Northeast,2025-06-01,185062.47,190749.34,60847.77,75152.4,1409
LOC-003,Riverside,Northeast,2025-07-01,198118.85,192950.96,61671.63,85469.67,1390
LOC-003,Riverside,Northeast,2025-08-01,187487.74,191116.52,60052.05,76571.71,1412
LOC-003,Riverside,Northeast,2025-09-01,186231.28,195078.41,55634.08,86119.6,1514
LOC-003,Riverside,Northeast,2025-10-01,187330.05,192418.73,60908.24,76269.36,1416
LOC-003,Riverside,Northeast,2025-11-01,201928.55,196798.78,63276.38,91427.1,1524
LOC-003,Riverside,Northeast,2025-12-01,191408.94,193295.83,59501.97,81135.63,1483
LOC-004,Summit Hill,Northeast,2025-01-01,194482.46,193592.89,66911.67,77379.4,1422
LOC-004,Summit Hill,Northeast,2025-02-01,189697.03,196603.42,56893.82,76868.41,1437
LOC-004,Summit Hill,Northeast,2025-03-01,192144.15,192178.32,57641.01,89128.23,1446
LOC-004,Summit Hill,Northeast,2025-04-01,200161.18,195999.7,57653.49,94064.26,1512
LOC-004,Summit Hill,Northeast,2025-05-01,203065.95,200873.59,68214.27,81897.49,1470
LOC-004,Summit Hill,Northeast,2025-06-01,192398.28,196917.74,55510.39,80868.43,1552
LOC-004,Summit Hill,Northeast,2025-07-01,194371.58,201896.58,60702.34,82382.57,1558
LOC-004,Summit Hill,Northeast,2025-08-01,207175.63,200829.56,67975.26,83364.11,1468
LOC-004,Summit Hill,Northeast,2025-09-01,207979.19,202258.45,66039.99,93556.95,1441
LOC-004,Summit Hill,Northeast,2025-10-01,203005.44,202684.48,68242.96,81728.9,1586
LOC-004,Summit Hill,Northeast,2025-11-01,196019.14,200660.42,62863.75,87035.83,1485
LOC-004,Summit Hill,Northeast,2025-12-01,197813.52,209018.86,59299.14,86555.59,1552
LOC-005,Lakeview,Midwest,2025-01-01,196954.0,200055.51,62309.74,91539.59,1436
LOC-005,Lakeview,Midwest,2025-02-01,202914.82,197856.17,62649.37,90040.45,1459
LOC-005,Lakeview,Midwest,2025-03-01,197743.61,204225.87,57217.63,84369.85,1573
LOC-005,Lakeview,Midwest,2025-04-01,209938.94,198626.16,62517.56,86330.26,1572
LOC-005,Lakeview,Midwest,2025-05-01,209344.96,208023.31,64304.83,84286.41,1567
LOC-005,Lakeview,Midwest,2025-06-01,207713.04,206548.19,71501.89,91875.24,1450
LOC-005,Lakeview,Midwest,2025-07-01,210831.11,204580.54,68478.65,98060.59,1478
LOC-005,Lakeview,Midwest,2025-08-01,200481.27,203815.09,63791.82,82555.75,1560
LOC-005,Lakeview,Midwest,2025-09-01,211697.37,206031.68,68389.74,87032.75,1551
LOC-005,Lakeview,Midwest,2025-10-01,216092.12,213973.59,62782.95,91598.44,1527
LOC-005,Lakeview,Midwest,2025-11-01,202173.32,214441.68,65347.84,83084.42,1609
LOC-005,Lakeview,Midwest,2025-12-01,212640.53,212058.16,60725.92,84209.8,1641
LOC-006,Prairie Center,Midwest,2025-01-01,212127.68,206983.35,71078.83,92615.11,1469
LOC-006,Prairie Center,Midwest,2025-02-01,200600.08,205814.06,67991.17,91010.21,1588
LOC-006,Prairie Center,Midwest,2025-03-01,214676.8,206061.94,64396.98,85489.34,1585
LOC-006,Prairie Center,Midwest,2025-04-01,215744.84,209379.24,69521.55,86808.01,1618
LOC-006,Prairie Center,Midwest,2025-05-01,216730.01,216654.59,72311.17,99807.05,1487
LOC-006,Prairie Center,Midwest,2025-06-01,215872.03,211144.13,73579.76,98044.5,1627
LOC-006,Prairie Center,Midwest,2025-07-01,218436.09,211718.07,72573.75,87079.03,1639
LOC-006,Prairie Center,Midwest,2025-08-01,220563.45,212508.88,73667.13,94141.83,1558
LOC-006,Prairie Center,Midwest,2025-09-01,220783.69,213828.23,63236.83,89516.83,1571
LOC-006,Prairie Center,Midwest,2025-10-01,223286.57,223112.18,67376.16,98540.5,1592
LOC-006,Prairie Center,Midwest,2025-11-01,226637.89,219723.87,77363.8,90480.04,1694
LOC-006,Prairie Center,Midwest,2025-12-01,213867.83,225686.67,64358.81,85263.16,1616
LOC-007,Oak Crossing,Midwest,2025-01-01,216629.65,211821.79,69618.82,93348.72,1549
LOC-007,Oak Crossing,Midwest,2025-02-01,215371.55,212505.09,70540.02,84024.04,1643
LOC-007,Oak Crossing,Midwest,2025-03-01,216042.54,218819.94,71189.69,95847.33,1564
LOC-007,Oak Crossing,Midwest,2025-04-01,209245.07,219563.02,63780.41,86860.4,1651
LOC-007,Oak Crossing,Midwest,2025-05-01,221852.87,216933.41,67345.01,93770.87,1590
LOC-007,Oak Crossing,Midwest,2025-06-01,215754.32,216349.17,66932.77,100375.19,1644
LOC-007,Oak Crossing,Midwest,2025-07-01,227770.65,223037.78,69027.49,98814.87,1544
LOC-007,Oak Crossing,Midwest,2025-08-01,218195.93,222311.73,69778.86,96524.74,1629
LOC-007,Oak Crossing,Midwest,2025-09-01,222266.74,221219.98,69656.43,102708.23,1693
LOC-007,Oak Crossing,Midwest,2025-10-01,218684.49,221079.94,69088.36,96360.1,1627
LOC-007,Oak Crossing,Midwest,2025-11-01,231695.57,229906.81,75386.26,94525.13,1614
LOC-007,Oak Crossing,Midwest,2025-12-01,218613.67,225496.95,68537.17,100120.47,1602
LOC-008,Riverbend,Midwest,2025-01-01,218486.71,222519.83,64817.6,97381.35,1609
LOC-008,Riverbend,Midwest,2025-02-01,216823.82,224191.52,61866.92,97587.45,1664
LOC-008,Riverbend,Midwest,2025-03-01,215712.75,223002.53,63754.59,100659.61,1633
LOC-008,Riverbend,Midwest,2025-04-01,216024.26,222397.86,72562.59,92138.01,1689
